日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2020-11-05,300905,110.0,102.06,124.3,102.0,107363,1194648464.0,45.21,106.93,52.74,59.65
2020-11-06,300905,94.01,97.2,103.04,93.01,66412,654932368.0,9.83,-4.76,-4.86,36.9
2020-11-09,300905,97.0,97.48,99.69,94.24,56316,542969152.0,5.61,0.29,0.28,31.29
2020-11-10,300905,96.0,94.5,98.88,94.0,41997,402289872.0,5.01,-3.06,-2.98,23.33
2020-11-11,300905,93.8,95.4,98.11,93.19,42039,403265872.0,5.21,0.95,0.9,23.36
2020-11-12,300905,93.5,85.99,93.98,85.61,51084,452330368.0,8.77,-9.86,-9.41,28.38
2020-11-13,300905,84.99,85.38,86.8,83.31,24973,212191568.0,4.06,-0.71,-0.61,13.87
2020-11-16,300905,86.96,86.1,87.59,84.6,22447,193388075.0,3.5,0.84,0.72,12.47
2020-11-17,300905,85.3,88.78,90.18,84.7,32953,289676384.0,6.36,3.11,2.68,18.31
2020-11-18,300905,87.83,89.6,89.8,86.71,28009,247046026.0,3.48,0.92,0.82,15.56
2020-11-19,300905,89.58,86.29,89.58,86.01,23655,206527855.0,3.98,-3.69,-3.31,13.14
2020-11-20,300905,86.2,84.18,87.0,84.14,21030,178926784.0,3.31,-2.45,-2.11,11.68
2020-11-23,300905,84.0,81.91,84.0,81.88,19839,163975911.0,2.52,-2.7,-2.27,11.02
2020-11-24,300905,81.53,82.42,83.45,81.11,14839,122371075.0,2.86,0.62,0.51,8.24
2020-11-25,300905,82.78,78.95,82.86,78.05,24334,194024128.0,5.84,-4.21,-3.47,13.52
2020-11-26,300905,78.6,78.89,80.88,78.22,16775,133149922.0,3.37,-0.08,-0.06,9.32
2020-11-27,300905,78.81,75.84,79.35,75.61,20271,155911693.0,4.74,-3.87,-3.05,11.26
2020-11-30,300905,76.29,75.87,77.69,75.43,13355,102061338.0,2.98,0.04,0.03,7.42
2020-12-01,300905,75.88,77.46,78.1,75.01,16646,128448592.0,4.07,2.1,1.59,9.25
2020-12-02,300905,77.0,77.41,79.35,76.87,19631,153191805.0,3.2,-0.06,-0.05,10.91
2020-12-03,300905,76.59,75.78,76.8,75.12,16426,124604039.0,2.17,-2.11,-1.63,9.13
2020-12-04,300905,75.59,76.85,77.41,75.45,15129,115922457.0,2.59,1.41,1.07,8.41
2020-12-07,300905,76.7,78.79,78.79,76.68,19344,151034199.0,2.75,2.52,1.94,10.75
2020-12-08,300905,78.9,77.65,80.28,77.31,19152,150680034.0,3.77,-1.45,-1.14,10.64
