日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2006-10-26,600018,42.83,44.14,45.79,42.28,3236175,1233435739.0,95.64,1102.72,40.47,13.36
2006-10-27,600018,43.59,41.84,43.59,41.18,1270345,456739841.0,5.46,-5.21,-2.3,5.25
2006-10-30,600018,41.4,42.28,42.39,41.18,612417,220004683.0,2.89,1.05,0.44,2.53
2006-10-31,600018,42.5,43.81,44.03,41.84,833356,308150048.0,5.18,3.62,1.53,3.44
2006-11-01,600018,43.92,47.99,47.99,43.92,2358436,948369074.0,9.29,9.54,4.18,9.74
2006-11-02,600018,49.74,50.73,52.49,48.53,3914783,1721693802.0,8.25,5.71,2.74,16.17
2006-11-03,600018,50.18,50.07,51.28,48.75,1652038,712574309.0,4.99,-1.3,-0.66,6.82
2006-11-06,600018,49.52,51.17,51.28,49.08,1148171,499011065.0,4.39,2.2,1.1,4.74
2006-11-07,600018,51.17,50.51,51.5,49.63,981727,427652973.0,3.65,-1.29,-0.66,4.05
2006-11-08,600018,50.29,49.08,50.4,48.86,844292,361185711.0,3.05,-2.83,-1.43,3.49
2006-11-09,600018,48.75,49.52,49.85,48.42,599311,255216332.0,2.91,0.9,0.44,2.47
2006-11-10,600018,49.52,48.53,50.18,47.88,993870,420914099.0,4.64,-2.0,-0.99,4.1
2006-11-13,600018,48.32,45.79,48.64,45.35,897322,361993797.0,6.78,-5.65,-2.74,3.71
2006-11-14,600018,45.57,48.1,48.64,45.35,928152,379624905.0,7.18,5.04,2.31,3.83
2006-11-15,600018,48.1,48.64,48.86,47.55,594174,247792892.0,2.72,1.12,0.54,2.45
2006-11-16,600018,48.64,48.21,49.41,47.88,730668,305851266.0,3.15,-0.88,-0.43,3.02
2006-11-17,600018,47.88,48.53,48.97,47.66,516218,215220743.0,2.72,0.66,0.32,2.13
2006-11-20,600018,48.75,50.29,50.73,48.53,1161828,497151982.0,4.53,3.63,1.76,4.8
2006-11-21,600018,50.4,52.27,52.38,49.41,1519353,671381615.0,5.91,3.94,1.98,6.27
2006-11-22,600018,52.27,55.78,56.88,51.61,2314704,1113416954.0,10.08,6.72,3.51,9.56
2006-11-23,600018,55.56,55.45,56.33,54.35,1234420,592749291.0,3.55,-0.59,-0.33,5.1
2006-11-24,600018,55.23,55.56,56.33,54.13,942429,454058734.0,3.97,0.2,0.11,3.89
2006-11-27,600018,55.34,55.67,55.89,54.57,735687,351803349.0,2.38,0.2,0.11,3.04
2006-11-28,600018,55.78,54.68,55.89,54.57,628028,299632927.0,2.37,-1.78,-0.99,2.59
2006-11-29,600018,54.35,54.9,55.45,53.04,752135,354392780.0,4.41,0.4,0.22,3.11
2006-11-30,600018,55.01,58.42,59.51,54.57,1787818,893076946.0,9.0,6.41,3.52,7.38
2006-12-01,600018,58.31,59.51,60.72,57.98,1489234,773949343.0,4.69,1.87,1.09,6.15
2006-12-04,600018,59.51,65.22,65.22,59.08,1646236,908462006.0,10.32,9.6,5.71,6.8
2006-12-05,600018,66.98,71.48,71.48,66.98,2610849,1617400789.0,6.9,9.6,6.26,10.78
2006-12-06,600018,72.8,78.4,78.4,71.59,3262168,2169129332.0,9.53,9.68,6.92,13.47
2006-12-07,600018,79.61,75.66,85.98,74.45,2854230,2096003227.0,14.71,-3.49,-2.74,11.79
2006-12-08,600018,72.47,68.3,75.0,68.3,2996060,1847547768.0,8.86,-9.73,-7.36,12.37
2006-12-11,600018,65.66,74.89,74.89,64.46,2264319,1371185408.0,15.27,9.65,6.59,9.35
2006-12-12,600018,74.89,76.53,80.93,72.91,2690533,1822636750.0,10.71,2.19,1.64,11.11
2006-12-13,600018,76.09,73.9,76.75,71.15,1338528,873016191.0,7.32,-3.44,-2.63,5.53
2006-12-14,600018,73.9,74.45,75.44,72.58,861469,560488052.0,3.87,0.74,0.55,3.56
2006-12-15,600018,74.67,76.09,77.85,74.45,1193216,801519730.0,4.57,2.2,1.64,4.93
2006-12-18,600018,76.2,78.73,79.28,75.55,1707766,1167442341.0,4.9,3.47,2.64,7.05
2006-12-19,600018,79.72,78.84,80.93,77.19,1350622,938030048.0,4.75,0.14,0.11,5.58
2006-12-21,600018,79.39,78.18,81.47,77.3,1197766,841283415.0,5.29,-0.84,-0.66,4.95
2006-12-22,600018,77.08,75.0,77.96,74.23,1056324,703706310.0,4.77,-4.07,-3.18,4.36
2006-12-25,600018,75.0,75.77,77.74,75.0,764242,511185804.0,3.65,1.03,0.77,3.16
2006-12-26,600018,76.09,73.57,76.53,72.58,794464,518162493.0,5.21,-2.9,-2.2,3.28
2006-12-27,600018,73.57,75.11,75.98,72.36,588804,385534525.0,4.92,2.09,1.54,2.43
2006-12-28,600018,75.55,73.57,76.2,72.8,735868,479416494.0,4.53,-2.05,-1.54,3.04
2006-12-29,600018,73.68,79.28,80.49,73.68,2041074,1399204450.0,9.26,7.76,5.71,8.43
2007-01-04,600018,80.38,79.06,82.46,78.29,2281773,1619344335.0,5.26,-0.28,-0.22,9.42
2007-01-05,600018,78.07,81.47,81.58,77.19,1744133,1220443054.0,5.55,3.05,2.41,7.2
2007-01-08,600018,83.67,89.38,89.38,81.15,2927304,2193674805.0,10.1,9.71,7.91,12.09
2007-01-09,600018,90.48,91.03,93.88,89.05,2634264,2115704143.0,5.4,1.85,1.65,10.88
2007-01-10,600018,91.14,90.59,92.13,89.27,1650689,1319912859.0,3.14,-0.48,-0.44,6.82
2007-01-11,600018,90.59,89.82,93.0,88.72,1796049,1444945612.0,4.72,-0.85,-0.77,7.42
2007-01-12,600018,88.83,83.56,90.81,83.23,1610623,1234996070.0,8.44,-6.97,-6.26,6.65
2007-01-15,600018,83.45,88.61,88.72,82.9,1134443,863163805.0,6.97,6.04,5.05,4.68
2007-01-16,600018,89.27,87.62,89.82,86.09,1181378,914036953.0,4.21,-1.12,-0.99,4.88
2007-01-17,600018,87.73,85.98,89.38,84.88,1251798,964653427.0,5.14,-1.87,-1.64,5.17
2007-01-18,600018,85.76,83.89,86.2,81.8,1402448,1035856067.0,5.12,-2.43,-2.09,5.79
2007-01-19,600018,83.89,88.39,88.83,83.89,1448541,1114705412.0,5.89,5.36,4.5,5.98
2007-01-22,600018,90.15,89.93,92.78,88.61,1698771,1358532438.0,4.72,1.74,1.54,7.01
2007-01-23,600018,90.04,87.29,90.48,84.99,1465531,1131803759.0,6.1,-2.94,-2.64,6.05
2007-01-24,600018,87.29,91.14,92.02,85.76,1940763,1536539356.0,7.17,4.41,3.85,8.01
2007-01-25,600018,91.36,94.87,99.37,89.27,3242360,2751868940.0,11.08,4.09,3.73,13.39
